,leaning,question,response
1971,4,riotsolution,4
1972,4,govservices,3
1973,4,healthservices,1
1974,4,abortion,3
1975,4,gunrights,3
1976,4,taxwaste,2
1977,4,riotsolution,4
1978,4,govservices,3
1979,4,healthservices,1
1980,4,abortion,3
1981,4,gunrights,3
1982,4,taxwaste,2
1983,4,riotsolution,4
1984,4,govservices,4
1985,4,healthservices,1
1986,4,abortion,3
1987,4,gunrights,3
1988,4,taxwaste,2
1989,4,riotsolution,4
1990,4,govservices,3
1991,4,healthservices,1
1992,4,abortion,3
1993,4,gunrights,3
1994,4,taxwaste,2
1995,4,riotsolution,3
1996,4,govservices,3
1997,4,healthservices,1
1998,4,abortion,3
1999,4,gunrights,3
2000,4,taxwaste,2
2001,4,riotsolution,3
2002,4,govservices,3
2003,4,healthservices,1
2004,4,abortion,3
2005,4,gunrights,3
2006,4,taxwaste,2
2007,4,riotsolution,4
2008,4,govservices,3
2009,4,healthservices,1
2010,4,abortion,3
2011,4,gunrights,1
2012,4,taxwaste,2
2013,4,riotsolution,3
2014,4,govservices,3
2015,4,healthservices,1
2016,4,abortion,3
2017,4,gunrights,3
2018,4,taxwaste,2
2019,4,riotsolution,3
2020,4,govservices,3
2021,4,healthservices,1
2022,4,abortion,3
2023,4,gunrights,3
2024,4,taxwaste,2
2025,4,riotsolution,3
2026,4,govservices,3
2027,4,healthservices,1
2028,4,abortion,3
2029,4,gunrights,3
2030,4,taxwaste,2
2031,4,riotsolution,4
2032,4,govservices,3
2033,4,healthservices,1
2034,4,abortion,3
2035,4,gunrights,3
2036,4,taxwaste,2
2037,4,riotsolution,4
2038,4,govservices,3
2039,4,healthservices,1
2040,4,abortion,3
2041,4,gunrights,3
2042,4,taxwaste,2
2043,4,riotsolution,4
2044,4,govservices,4
2045,4,healthservices,1
2046,4,abortion,3
2047,4,gunrights,3
2048,4,taxwaste,2
2049,4,riotsolution,3
2050,4,govservices,4
2051,4,healthservices,1
2052,4,abortion,3
2053,4,gunrights,3
2054,4,taxwaste,2
2055,4,riotsolution,4
2056,4,govservices,3
2057,4,healthservices,1
2058,4,abortion,3
2059,4,gunrights,3
2060,4,taxwaste,2
2061,4,riotsolution,4
2062,4,govservices,3
2063,4,healthservices,1
2064,4,abortion,3
2065,4,gunrights,3
2066,4,taxwaste,2
2067,4,riotsolution,4
2068,4,govservices,3
2069,4,healthservices,1
2070,4,abortion,3
2071,4,gunrights,3
2072,4,taxwaste,2
2073,4,riotsolution,4
2074,4,govservices,3
2075,4,healthservices,1
2076,4,abortion,3
2077,4,gunrights,3
2078,4,taxwaste,2
2079,4,riotsolution,3
2080,4,govservices,3
2081,4,healthservices,1
2082,4,abortion,3
2083,4,gunrights,3
2084,4,taxwaste,2
2085,4,riotsolution,3
2086,4,govservices,3
2087,4,healthservices,1
2088,4,abortion,3
2089,4,gunrights,3
2090,4,taxwaste,2
2091,4,riotsolution,3
2092,4,govservices,3
2093,4,healthservices,1
2094,4,abortion,3
2095,4,gunrights,3
2096,4,taxwaste,2
2097,4,riotsolution,4
2098,4,govservices,3
2099,4,healthservices,1
2100,4,abortion,4
2101,4,gunrights,3
2102,4,taxwaste,2
2103,4,riotsolution,1
2104,4,govservices,3
2105,4,healthservices,1
2106,4,abortion,3
2107,4,gunrights,3
2108,4,taxwaste,2
2109,4,riotsolution,4
2110,4,govservices,3
2111,4,healthservices,1
2112,4,abortion,3
2113,4,gunrights,1
2114,4,taxwaste,2
2115,4,riotsolution,4
2116,4,govservices,4
2117,4,healthservices,1
2118,4,abortion,3
2119,4,gunrights,3
2120,4,taxwaste,2
2121,4,riotsolution,3
2122,4,govservices,3
2123,4,healthservices,1
2124,4,abortion,4
2125,4,gunrights,3
2126,4,taxwaste,2
2127,4,riotsolution,4
2128,4,govservices,3
2129,4,healthservices,1
2130,4,abortion,4
2131,4,gunrights,3
2132,4,taxwaste,2
2133,4,riotsolution,4
2134,4,govservices,3
2135,4,healthservices,1
2136,4,abortion,3
2137,4,gunrights,3
2138,4,taxwaste,2
2139,4,riotsolution,4
2140,4,govservices,3
2141,4,healthservices,1
2142,4,abortion,3
2143,4,gunrights,3
2144,4,taxwaste,2
2145,4,riotsolution,3
2146,4,govservices,4
2147,4,healthservices,1
2148,4,abortion,3
2149,4,gunrights,3
2150,4,taxwaste,2
2151,4,riotsolution,4
2152,4,govservices,3
2153,4,healthservices,1
2154,4,abortion,3
2155,4,gunrights,3
2156,4,taxwaste,2
2157,4,riotsolution,4
2158,4,govservices,4
2159,4,healthservices,1
2160,4,abortion,3
2161,4,gunrights,3
2162,4,taxwaste,2
2163,4,riotsolution,4
2164,4,govservices,4
2165,4,healthservices,1
2166,4,abortion,3
2167,4,gunrights,3
2168,4,taxwaste,2
2169,4,riotsolution,3
2170,4,govservices,3
2171,4,healthservices,1
2172,4,abortion,3
2173,4,gunrights,3
2174,4,taxwaste,2
2175,4,riotsolution,4
2176,4,govservices,3
2177,4,healthservices,1
2178,4,abortion,3
2179,4,gunrights,3
2180,4,taxwaste,2
2181,4,riotsolution,3
2182,4,govservices,3
2183,4,healthservices,1
2184,4,abortion,3
2185,4,gunrights,1
2186,4,taxwaste,2
2187,4,riotsolution,4
2188,4,govservices,3
2189,4,healthservices,1
2190,4,abortion,3
2191,4,gunrights,3
2192,4,taxwaste,2
2193,4,riotsolution,4
2194,4,govservices,4
2195,4,healthservices,1
2196,4,abortion,3
2197,4,gunrights,1
2198,4,taxwaste,2
2199,4,riotsolution,4
2200,4,govservices,3
2201,4,healthservices,1
2202,4,abortion,3
2203,4,gunrights,3
2204,4,taxwaste,2
2205,4,riotsolution,4
2206,4,govservices,4
2207,4,healthservices,1
2208,4,abortion,3
2209,4,gunrights,3
2210,4,taxwaste,2
2211,4,riotsolution,3
2212,4,govservices,3
2213,4,healthservices,1
2214,4,abortion,3
2215,4,gunrights,3
2216,4,taxwaste,2
2217,4,riotsolution,4
2218,4,govservices,3
2219,4,healthservices,1
2220,4,abortion,3
2221,4,gunrights,3
2222,4,taxwaste,2
2223,4,riotsolution,4
2224,4,govservices,3
2225,4,healthservices,1
2226,4,abortion,3
2227,4,gunrights,3
2228,4,taxwaste,2
2229,4,riotsolution,4
2230,4,govservices,3
2231,4,healthservices,1
2232,4,abortion,4
2233,4,gunrights,3
2234,4,taxwaste,2
2235,4,riotsolution,3
2236,4,govservices,3
2237,4,healthservices,1
2238,4,abortion,4
2239,4,gunrights,1
2240,4,taxwaste,2
2241,4,riotsolution,4
2242,4,govservices,4
2243,4,healthservices,1
2244,4,abortion,3
2245,4,gunrights,3
2246,4,taxwaste,2
2247,4,riotsolution,4
2248,4,govservices,3
2249,4,healthservices,1
2250,4,abortion,3
2251,4,gunrights,3
2252,4,taxwaste,2
2253,4,riotsolution,3
2254,4,govservices,4
2255,4,healthservices,1
2256,4,abortion,3
2257,4,gunrights,3
2258,4,taxwaste,2
2259,4,riotsolution,3
2260,4,govservices,3
2261,4,healthservices,1
2262,4,abortion,3
2263,4,gunrights,3
2264,4,taxwaste,2
2265,4,riotsolution,4
2266,4,govservices,4
2267,4,healthservices,1
2268,4,abortion,4
2269,4,gunrights,3
2270,4,taxwaste,2
2271,4,riotsolution,4
2272,4,govservices,4
2273,4,healthservices,1
2274,4,abortion,4
2275,4,gunrights,3
2276,4,taxwaste,2
2277,4,riotsolution,4
2278,4,govservices,3
2279,4,healthservices,1
2280,4,abortion,3
2281,4,gunrights,3
2282,4,taxwaste,2
2283,4,riotsolution,4
2284,4,govservices,3
2285,4,healthservices,1
2286,4,abortion,3
2287,4,gunrights,3
2288,4,taxwaste,2
2289,4,riotsolution,3
2290,4,govservices,4
2291,4,healthservices,1
2292,4,abortion,3
2293,4,gunrights,3
2294,4,taxwaste,2
2295,4,riotsolution,4
2296,4,govservices,3
2297,4,healthservices,1
2298,4,abortion,3
2299,4,gunrights,3
2300,4,taxwaste,2
2301,4,riotsolution,4
2302,4,govservices,3
2303,4,healthservices,1
2304,4,abortion,3
2305,4,gunrights,3
2306,4,taxwaste,2
2307,4,riotsolution,4
2308,4,govservices,3
2309,4,healthservices,1
2310,4,abortion,3
2311,4,gunrights,3
2312,4,taxwaste,2
2313,4,riotsolution,4
2314,4,govservices,3
2315,4,healthservices,1
2316,4,abortion,3
2317,4,gunrights,3
2318,4,taxwaste,2
2319,4,riotsolution,3
2320,4,govservices,3
2321,4,healthservices,1
2322,4,abortion,3
2323,4,gunrights,3
2324,4,taxwaste,2
2325,4,riotsolution,4
2326,4,govservices,3
2327,4,healthservices,1
2328,4,abortion,3
2329,4,gunrights,3
2330,4,taxwaste,2
2331,4,riotsolution,4
2332,4,govservices,3
2333,4,healthservices,1
2334,4,abortion,4
2335,4,gunrights,3
2336,4,taxwaste,2
2337,4,riotsolution,4
2338,4,govservices,3
2339,4,healthservices,1
2340,4,abortion,3
2341,4,gunrights,3
2342,4,taxwaste,2
2343,4,riotsolution,3
2344,4,govservices,3
2345,4,healthservices,1
2346,4,abortion,3
2347,4,gunrights,3
2348,4,taxwaste,2
2349,4,riotsolution,4
2350,4,govservices,3
2351,4,healthservices,1
2352,4,abortion,3
2353,4,gunrights,3
2354,4,taxwaste,2
2355,4,riotsolution,3
2356,4,govservices,3
2357,4,healthservices,1
2358,4,abortion,3
2359,4,gunrights,3
2360,4,taxwaste,2
2361,4,riotsolution,3
2362,4,govservices,4
2363,4,healthservices,1
2364,4,abortion,4
2365,4,gunrights,1
2366,4,taxwaste,2
2367,4,riotsolution,4
2368,4,govservices,3
2369,4,healthservices,1
2370,4,abortion,4
2371,4,gunrights,1
2372,4,taxwaste,2
2373,4,riotsolution,4
2374,4,govservices,3
2375,4,healthservices,1
2376,4,abortion,3
2377,4,gunrights,1
2378,4,taxwaste,2
2379,4,riotsolution,4
2380,4,govservices,4
2381,4,healthservices,1
2382,4,abortion,3
2383,4,gunrights,3
2384,4,taxwaste,2
2385,4,riotsolution,4
2386,4,govservices,3
2387,4,healthservices,1
2388,4,abortion,4
2389,4,gunrights,3
2390,4,taxwaste,2
2391,4,riotsolution,4
2392,4,govservices,3
2393,4,healthservices,1
2394,4,abortion,3
2395,4,gunrights,3
2396,4,taxwaste,2
2397,4,riotsolution,4
2398,4,govservices,4
2399,4,healthservices,1
