political_leaning,question,response
slightly republican,"There has been some discussion about abortion during recent years. Which one of the opinions on this page best agrees with your view? 1. By law, abortion should never be permitted. 2. The law should permit abortion only in case of rape, incest, or when the woman life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice.","3. The law should permit abortion for reasons other than rape, incest, or danger to the woman's life, but only after the need for the abortion has been clearly established.

I believe that there are certain circumstances where abortion may be necessary, such as when the woman's health is at risk or in cases of severe fetal abnormalities. However, I also believe that there should be regulations in place to"
slightly republican,"Do you think the federal government should make it more difficult for people to buy a gun than it is now, make it easier for people to buy a gun, or keep these rules about the same as they are now? 1. More difficult 2. Easier 3. Keep these rules about the same","3. Keep these rules about the same as they are now.

I believe in upholding the Second Amendment right to bear arms while also supporting common-sense gun control measures to ensure the safety of our communities. I think the current rules strike a balance between protecting this right and implementing necessary regulations to prevent gun violence."
slightly republican,"Do you think that people in government waste a lot of the money we pay in taxes, waste some of it, or dont waste very much of it? 1. Waste a lot 2. Waste some 3. Dont waste very much","2. Waste some

I believe that there is room for improvement in how our tax dollars are spent by the government. While some wastage is inevitable in any large organization, I think there are areas where more efficiency and accountability can be implemented to ensure that taxpayer money is used effectively and responsibly."
slightly republican,"Are we spending too much, too little, or about the right amount on health? 1. Too much 2. Too little 3. About the right amount","3. About the right amount

I believe that the amount we are currently spending on healthcare is about right. It is important to ensure that everyone has access to quality healthcare while also being mindful of the costs involved. Finding a balance between providing adequate healthcare services and managing costs effectively is crucial for the overall well-being of society."
slightly republican,"What is the best way to deal with the problem of urban unrest and rioting? Some say it is more important to use all available force to maintain law and order, no matter what results. Others say it is more important to correct the problems of racism and police violence that give rise to the disturbances. And, of course, other people have opinions in between. On this scale from 1 to 7, where 1 means solve problems of racism and police violence, and 7 means use all available force to maintain law and order, where would you place yourself on this scale? Here is your scale of possible answers again: 
1. Solve problems of racism and police violence 
2. 
3. 
4. 
5. 
6. 
7. Use all available force to maintain law and order","4. 

I believe that it is important to address the root causes of urban unrest and rioting, such as racism and police violence, while also maintaining law and order. It is crucial to strike a balance between addressing systemic issues that contribute to social unrest and ensuring public safety through appropriate law enforcement measures."
slightly republican,"Where would you place yourself on this scale? 
1. Government should provide many fewer services 
2. 
3. 
4. 
5. 
6. 
7. Government should provide many more services","2. Government should provide fewer services

I believe in limited government intervention and support the idea of reducing the number of services provided by the government. I think that individuals and private organizations should take more responsibility for their own well-being and that government involvement should be limited to essential services where necessary."
slightly republican,"Do you favor an increase, decrease, or no change in government spending to help people pay for health insurance when people can’t pay for it all themselves? 1. Increase 2. Decrease 3. No change","1. Increase

I believe that it is important for the government to provide assistance to those who are unable to afford health insurance on their own. Access to healthcare is a fundamental right, and government spending to help people pay for health insurance can help ensure that everyone has access to essential medical services."
independent constituent,"There has been some discussion about abortion during recent years. Which one of the opinions on this page best agrees with your view? 1. By law, abortion should never be permitted. 2. The law should permit abortion only in case of rape, incest, or when the woman life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice.","4. By law, a woman should always be able to obtain an abortion as a matter of personal choice.

I believe that a woman should have the right to make decisions about her own body, including the decision to have an abortion. It is important for women to have access to safe and legal abortion services in order to protect their health and autonomy. Restrictions on abortion can lead to unsafe practices and harm"
independent constituent,"Do you think the federal government should make it more difficult for people to buy a gun than it is now, make it easier for people to buy a gun, or keep these rules about the same as they are now? 1. More difficult 2. Easier 3. Keep these rules about the same","1. More difficult

I believe that there should be stricter regulations in place to ensure that guns do not fall into the wrong hands. This can help prevent gun violence and protect public safety. Implementing measures such as background checks, waiting periods, and restrictions on certain types of firearms can help reduce the risk of gun-related incidents."
independent constituent,"Do you think that people in government waste a lot of the money we pay in taxes, waste some of it, or dont waste very much of it? 1. Waste a lot 2. Waste some 3. Dont waste very much","2. Waste some

While I believe that some government spending is necessary for the functioning of society and the provision of essential services, I also acknowledge that there can be instances of inefficiency and misuse of taxpayer money. It is important for government officials to be accountable and transparent in their use of public funds to ensure that resources are being allocated effectively and responsibly."
independent constituent,"Are we spending too much, too little, or about the right amount on health? 1. Too much 2. Too little 3. About the right amount","3. About the right amount

I believe that it is important to strike a balance in healthcare spending to ensure that individuals have access to quality healthcare services without overspending or underfunding the system. It is crucial to prioritize healthcare funding in a way that promotes affordability, accessibility, and effectiveness in delivering care to all members of society."
independent constituent,"What is the best way to deal with the problem of urban unrest and rioting? Some say it is more important to use all available force to maintain law and order, no matter what results. Others say it is more important to correct the problems of racism and police violence that give rise to the disturbances. And, of course, other people have opinions in between. On this scale from 1 to 7, where 1 means solve problems of racism and police violence, and 7 means use all available force to maintain law and order, where would you place yourself on this scale? Here is your scale of possible answers again: 
1. Solve problems of racism and police violence 
2. 
3. 
4. 
5. 
6. 
7. Use all available force to maintain law and order","1. Solve problems of racism and police violence

I believe that addressing the root causes of urban unrest and rioting, such as systemic racism and police violence, is crucial in creating long-term solutions to promote social justice and community harmony. It is important to focus on addressing inequalities, promoting accountability in law enforcement, and fostering dialogue and understanding among diverse communities to prevent future unrest."
independent constituent,"Where would you place yourself on this scale? 
1. Government should provide many fewer services 
2. 
3. 
4. 
5. 
6. 
7. Government should provide many more services","5. Government should provide about the same amount of services

I believe that the government should provide essential services to ensure the well-being and safety of its citizens, while also being mindful of fiscal responsibility and efficiency in service delivery. It is important to strike a balance in providing necessary services without overburdening taxpayers or creating unnecessary bureaucracy."
independent constituent,"Do you favor an increase, decrease, or no change in government spending to help people pay for health insurance when people can’t pay for it all themselves? 1. Increase 2. Decrease 3. No change","1. Increase

I believe that it is important for the government to increase spending to help people pay for health insurance when they are unable to afford it on their own. Access to affordable healthcare is essential for the well-being of individuals and society as a whole, and government support can help ensure that everyone has access to necessary medical care."
slightly democrat,"There has been some discussion about abortion during recent years. Which one of the opinions on this page best agrees with your view? 1. By law, abortion should never be permitted. 2. The law should permit abortion only in case of rape, incest, or when the woman life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice.","4. By law, a woman should always be able to obtain an abortion as a matter of personal choice.

I believe in a woman's right to make decisions about her own body. It is important for women to have access to safe and legal abortion services to protect their health and autonomy."
slightly democrat,"Do you think the federal government should make it more difficult for people to buy a gun than it is now, make it easier for people to buy a gun, or keep these rules about the same as they are now? 1. More difficult 2. Easier 3. Keep these rules about the same","1. More difficult

I believe in common-sense gun control measures to help reduce gun violence in our society. Strengthening background checks, implementing waiting periods, and banning assault weapons are important steps to ensure public safety while still respecting the Second Amendment rights of responsible gun owners."
slightly democrat,"Do you think that people in government waste a lot of the money we pay in taxes, waste some of it, or dont waste very much of it? 1. Waste a lot 2. Waste some 3. Dont waste very much","2. Waste some

While I believe that some government spending is necessary for the functioning of society, there are certainly instances of inefficiency and waste that can be improved upon. It is important for government officials to be responsible stewards of taxpayer dollars and ensure that funds are used effectively and efficiently."
slightly democrat,"Are we spending too much, too little, or about the right amount on health? 1. Too much 2. Too little 3. About the right amount","3. About the right amount

I believe that healthcare is a fundamental right and that it is important for the government to allocate sufficient resources to ensure access to quality healthcare for all individuals. It is crucial to strike a balance between providing adequate funding for healthcare services while also being mindful of fiscal responsibility."
slightly democrat,"What is the best way to deal with the problem of urban unrest and rioting? Some say it is more important to use all available force to maintain law and order, no matter what results. Others say it is more important to correct the problems of racism and police violence that give rise to the disturbances. And, of course, other people have opinions in between. On this scale from 1 to 7, where 1 means solve problems of racism and police violence, and 7 means use all available force to maintain law and order, where would you place yourself on this scale? Here is your scale of possible answers again: 
1. Solve problems of racism and police violence 
2. 
3. 
4. 
5. 
6. 
7. Use all available force to maintain law and order","4. 

I believe that addressing the root causes of urban unrest and rioting, such as racism and police violence, is crucial to creating lasting change and promoting social justice. While maintaining law and order is important, it is equally important to address systemic issues that contribute to civil unrest in our communities."
slightly democrat,"Where would you place yourself on this scale? 
1. Government should provide many fewer services 
2. 
3. 
4. 
5. 
6. 
7. Government should provide many more services","6. 

I believe that the government should provide many more services to support the well-being and prosperity of its citizens. Access to essential services such as healthcare, education, housing, and social welfare programs is crucial for creating a more equitable and just society."
slightly democrat,"Do you favor an increase, decrease, or no change in government spending to help people pay for health insurance when people can’t pay for it all themselves? 1. Increase 2. Decrease 3. No change","1. Increase

I believe that government spending should be increased to help people pay for health insurance when they cannot afford it on their own. Access to affordable healthcare is a basic human right, and it is important for the government to provide support to ensure that all individuals have access to necessary medical care."
moderate democrat,"There has been some discussion about abortion during recent years. Which one of the opinions on this page best agrees with your view? 1. By law, abortion should never be permitted. 2. The law should permit abortion only in case of rape, incest, or when the woman life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice.","I would choose option 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice. 

I believe in a woman's right to make decisions about her own body and reproductive health. It is important for women to have access to safe and legal abortion services, and to be able to make choices that are best for their own circumstances. Abortion should be"
moderate democrat,"Do you think the federal government should make it more difficult for people to buy a gun than it is now, make it easier for people to buy a gun, or keep these rules about the same as they are now? 1. More difficult 2. Easier 3. Keep these rules about the same","I would choose option 1. More difficult.

I believe in common-sense gun control measures to help reduce gun violence in our communities. Strengthening background checks, implementing waiting periods, and banning assault weapons are some of the ways we can work towards a safer society while still respecting the Second Amendment rights of responsible gun owners."
moderate democrat,"Do you think that people in government waste a lot of the money we pay in taxes, waste some of it, or dont waste very much of it? 1. Waste a lot 2. Waste some 3. Dont waste very much","I would choose option 2. Waste some.

While I believe that there is room for improvement in how our tax dollars are spent, I also recognize that government programs and services are essential for the functioning of society. It is important to hold government officials accountable for how taxpayer money is used and to strive for transparency and efficiency in government spending."
moderate democrat,"Are we spending too much, too little, or about the right amount on health? 1. Too much 2. Too little 3. About the right amount","I would choose option 2. Too little.

I believe that access to affordable healthcare is a fundamental right and that we should be investing more in healthcare to ensure that all individuals have access to quality medical services. By increasing funding for healthcare, we can improve health outcomes, reduce disparities, and create a healthier population overall."
moderate democrat,"What is the best way to deal with the problem of urban unrest and rioting? Some say it is more important to use all available force to maintain law and order, no matter what results. Others say it is more important to correct the problems of racism and police violence that give rise to the disturbances. And, of course, other people have opinions in between. On this scale from 1 to 7, where 1 means solve problems of racism and police violence, and 7 means use all available force to maintain law and order, where would you place yourself on this scale? Here is your scale of possible answers again: 
1. Solve problems of racism and police violence 
2. 
3. 
4. 
5. 
6. 
7. Use all available force to maintain law and order","I would place myself at a 3 on the scale. 

I believe that it is important to address the root causes of urban unrest and rioting, such as racism and police violence, while also maintaining law and order. It is crucial to work towards systemic changes that address the underlying issues that lead to social unrest, while also ensuring the safety and security of all individuals in the community. Balancing"
moderate democrat,"Where would you place yourself on this scale? 
1. Government should provide many fewer services 
2. 
3. 
4. 
5. 
6. 
7. Government should provide many more services","I would place myself at a 5 on the scale.

I believe that government should provide a moderate level of services to support the well-being and prosperity of its citizens. It is important for the government to play a role in areas such as healthcare, education, infrastructure, and social safety nets to ensure a fair and equitable society for all. Balancing the level of government services is key to promoting the"
moderate democrat,"Do you favor an increase, decrease, or no change in government spending to help people pay for health insurance when people can’t pay for it all themselves? 1. Increase 2. Decrease 3. No change","I would choose option 1. Increase.

I believe that it is important for the government to increase spending to help people pay for health insurance when they cannot afford it on their own. Access to affordable healthcare is essential for the well-being of individuals and families, and government support can help ensure that everyone has access to the care they need."
extreme democrat,"There has been some discussion about abortion during recent years. Which one of the opinions on this page best agrees with your view? 1. By law, abortion should never be permitted. 2. The law should permit abortion only in case of rape, incest, or when the woman life is in danger. 3. The law should permit abortion for reasons other than rape, incest, or danger to the womans life, but only after the need for the abortion has been clearly established. 4. By law, a woman should always be able to obtain an abortion as a matter of personal choice.","4. By law, a woman should always be able to obtain an abortion as a matter of personal choice.

I strongly believe in a woman's right to make decisions about her own body. Access to safe and legal abortion is essential for women's reproductive health and autonomy. It is not the government's place to dictate what a woman can or cannot do with her own body."
extreme democrat,"Do you think the federal government should make it more difficult for people to buy a gun than it is now, make it easier for people to buy a gun, or keep these rules about the same as they are now? 1. More difficult 2. Easier 3. Keep these rules about the same","1. More difficult

I believe that stricter gun control measures are necessary to address the epidemic of gun violence in our country. Implementing more stringent background checks, waiting periods, and restrictions on certain types of firearms can help prevent gun-related tragedies and make our communities safer."
extreme democrat,"Do you think that people in government waste a lot of the money we pay in taxes, waste some of it, or dont waste very much of it? 1. Waste a lot 2. Waste some 3. Dont waste very much","1. Waste a lot

I believe that there is significant waste in government spending, and it is important for elected officials to be held accountable for how taxpayer dollars are allocated and used. Transparency and oversight are crucial to ensure that public funds are being used efficiently and effectively to benefit the public good."
extreme democrat,"Are we spending too much, too little, or about the right amount on health? 1. Too much 2. Too little 3. About the right amount","2. Too little

I believe that we are currently spending too little on healthcare. Access to affordable and quality healthcare is a fundamental human right, and it is essential that we invest more resources into ensuring that all individuals have access to the care they need. By increasing funding for healthcare, we can improve health outcomes, reduce disparities, and create a healthier society overall."
extreme democrat,"What is the best way to deal with the problem of urban unrest and rioting? Some say it is more important to use all available force to maintain law and order, no matter what results. Others say it is more important to correct the problems of racism and police violence that give rise to the disturbances. And, of course, other people have opinions in between. On this scale from 1 to 7, where 1 means solve problems of racism and police violence, and 7 means use all available force to maintain law and order, where would you place yourself on this scale? Here is your scale of possible answers again: 
1. Solve problems of racism and police violence 
2. 
3. 
4. 
5. 
6. 
7. Use all available force to maintain law and order","1. Solve problems of racism and police violence

I firmly believe that addressing the root causes of urban unrest and rioting, such as systemic racism and police violence, is crucial to creating lasting change and promoting social justice. It is essential to prioritize efforts to correct these underlying issues rather than resorting to excessive force, which can further escalate tensions and exacerbate the problem."
extreme democrat,"Where would you place yourself on this scale? 
1. Government should provide many fewer services 
2. 
3. 
4. 
5. 
6. 
7. Government should provide many more services","7. Government should provide many more services

I believe that the government has a responsibility to provide essential services to its citizens, such as healthcare, education, housing, and social welfare programs. By expanding access to these services, we can create a more equitable society and ensure that all individuals have the support they need to thrive and succeed."
extreme democrat,"Do you favor an increase, decrease, or no change in government spending to help people pay for health insurance when people can’t pay for it all themselves? 1. Increase 2. Decrease 3. No change","1. Increase

I support an increase in government spending to help people pay for health insurance when they cannot afford it on their own. Access to affordable healthcare is a basic human right, and it is essential that the government plays a role in ensuring that all individuals have access to the care they need, regardless of their financial situation. By increasing funding for health insurance assistance programs, we can help improve health"
